200
33 31 Medical 5 Dispatched
132 29 Medical 4 Pending
134 33 Medical 2 Dispatched
66 1 Crime 2 Pending
68 33 Medical 5 Pending
137 23 Crime 3 Pending
17 12 Medical 4 Dispatched
139 9 Medical 3 Pending
70 34 Crime 3 Dispatched
71 29 Crime 2 Pending
34 33 Crime 3 Pending
143 41 Fire 2 Pending
8 30 Medical 4 Pending
145 11 Medical 3 Dispatched
73 17 Crime 4 Pending
147 50 Crime 3 Dispatched
37 4 Fire 5 Pending
149 9 Medical 3 Dispatched
75 36 Fire 4 Dispatched
150 34 Medical 3 Pending
18 44 Fire 3 Pending
153 4 Fire 5 Dispatched
77 46 Medical 5 Pending
154 10 Medical 4 Dispatched
78 27 Fire 3 Pending
157 38 Crime 3 Dispatched
158 49 Medical 4 Dispatched
159 25 Medical 4 Dispatched
80 7 Fire 4 Dispatched
5 7 Crime 4 Dispatched
40 38 Medical 4 Dispatched
163 48 Medical 3 Pending
164 20 Medical 5 Pending
82 40 Medical 5 Pending
166 38 Fire 5 Pending
167 19 Crime 4 Dispatched
42 48 Crime 4 Dispatched
84 43 Fire 3 Pending
85 30 Crime 4 Dispatched
171 50 Medical 5 Pending
172 15 Medical 4 Dispatched
86 21 Medical 4 Pending
87 2 Medical 5 Pending
175 2 Medical 4 Pending
176 49 Crime 4 Dispatched
88 45 Medical 4 Dispatched
178 10 Medical 4 Dispatched
179 3 Crime 5 Dispatched
90 41 Fire 4 Dispatched
180 12 Crime 3 Pending
45 20 Crime 4 Pending
183 14 Medical 5 Pending
184 24 Fire 4 Pending
185 9 Fire 5 Pending
186 19 Medical 3 Dispatched
187 32 Medical 4 Pending
47 7 Fire 2 Dispatched
189 20 Fire 4 Dispatched
190 11 Medical 5 Dispatched
191 48 Fire 5 Dispatched
24 20 Crime 4 Dispatched
193 25 Crime 4 Dispatched
194 18 Crime 4 Pending
195 32 Crime 3 Pending
49 34 Medical 4 Dispatched
197 26 Fire 4 Dispatched
99 44 Crime 5 Dispatched
198 30 Crime 4 Dispatched
100 34 Crime 5 Dispatched
